"filename", "language", "JSON", "JavaScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/includes/pro-version.ejs", "HTML", 0, 0, 26, 0, 0, 0, 2, 28
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/includes/right-sidebar.ejs", "HTML", 0, 0, 6, 0, 0, 0, 2, 8
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/index.ejs", "HTML", 0, 0, 111, 0, 0, 0, 35, 146
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/login.ejs", "HTML", 0, 0, 67, 0, 0, 0, 15, 82
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/notifications.ejs", "HTML", 0, 0, 75, 0, 0, 0, 20, 95
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/pages.ejs", "HTML", 0, 0, 48, 0, 0, 0, 8, 56
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/postDetail.ejs", "HTML", 0, 0, 75, 0, 0, 0, 23, 98
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/proVersions.ejs", "HTML", 0, 0, 389, 0, 0, 3, 65, 457
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/profileViews.ejs", "HTML", 0, 0, 28, 0, 0, 0, 6, 34
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/search.ejs", "HTML", 0, 0, 96, 0, 0, 0, 27, 123
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/signup.ejs", "HTML", 0, 0, 88, 0, 0, 0, 18, 106
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/updateProfile.ejs", "HTML", 0, 0, 173, 0, 0, 0, 50, 223
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/views/userProfile.ejs", "HTML", 0, 0, 76, 0, 0, 0, 23, 99
"Total", "-", 1456, 30901, 1943, 1053, 10645, 671, 2908, 49577
